URL,title,breadcrumb1,breadcrumb2,breadcrumb3,breadcrumb4,PDFname1,PDFname2,PDFname3,PDFname4
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AA%D8%A7%D8%B3%D8%B9/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D9%85%D8%B1%D8%B6-%D8%A7%D9%84%D9%83%D9%88%D9%84%D9%8A%D8%B1%D8%A7,مرض الكوليرا,الصف التاسع,,,,admicrob6.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D9%83%D9%88%D8%B1%D8%B3-%D8%A7%D9%84%D9%85%D8%B9%D8%AC%D9%85-%D9%81%D9%8A-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%A3%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D8%A7%D9%84%D9%81%D8%B5%D9%84-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A,كورس المعجم في اللغة الأنجليزية الفصل الثاني,الصف الثاني ثانوي,,,,شرح مفضل لكتاب الطالب وكتاب الانشطه,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AF%D9%88%D8%B3%D9%8A%D8%A9-%D8%AA%D9%83%D8%A7%D9%85%D9%84-%D8%A7%D8%AF%D8%A8%D9%8A-%D9%A2%D9%A0%D9%A1%D9%A9-%D8%AC%D8%B2%D8%A1-%D9%A2,دوسية تكامل ادبي ٢٠١٩ جزء ٢,الصف الثاني ثانوي,,,,التكامل ادبي2-1.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%B9%D9%84%D9%88%D9%85-%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D8%A9-%D9%85%D9%A3-%D9%82%D8%AF%D9%8A%D9%85-%D8%AC%D9%8A%D9%84%D9%A9%D9%A9,علوم إسلامية م٣ قديم جيل٩٩,الصف الثاني ثانوي,,,,مختصر علوم إسلامية م 3 --عمر جبر.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%85%D8%AA%D8%AD%D8%A7%D9%86-%D8%B9%D8%B1%D8%A8%D9%8A-%D8%AA%D8%AE%D8%B5%D8%B5-%D9%85-3-%D9%85%D9%82%D8%AA%D8%B1%D8%AD-%D9%88-%D9%85%D8%AA%D9%88%D9%82%D8%B9,امتحان عربي تخصص م 3 مقترح و متوقع,الصف الثاني ثانوي,,,,امتحان مقترح عربي تخصص م3.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%B4%D8%B1%D8%AD-%D9%82%D9%88%D8%A7%D9%86%D9%8A%D9%86-%D8%B9%D8%A7%D9%84%D9%85%D8%A7%D8%B4%D9%8A,شرح قوانين عالماشي,الصف الثاني ثانوي,,,,شرح-قوانين-عالسريع.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D9%85%D9%84%D8%AE%D8%B5-%D8%A7%D9%84%D8%A5%D8%A8%D8%AF%D8%A7%D9%84-%D9%85%D8%B9-%D8%A7%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82,ملخص الإبدال مع التطبيق,الصف الثاني ثانوي,,,,ملخص الإبدال مع التطبيق.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D8%AA%D9%8A%D8%A7%D8%B1-%D8%A7%D9%84%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A2019,التيار الكهربائي2019,الصف الثاني ثانوي,,,,التيار 2019.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D8%B3%D8%A6%D9%84%D8%A9-%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-%D8%B3%D8%A7%D8%A8%D9%82%D8%A9,اسئلة كيمياء سنوات سابقة,الصف الثاني ثانوي,,,,اسئلة كيمياء سنوات سابقة.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D8%A3%D8%B2%D9%85%D9%86%D8%A9-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%88%D9%89-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB,الأزمنة المستوى الثالث,الصف الثاني ثانوي,,,,الأزمنة المستوى الثالث,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/passive-%D8%B4%D8%B1%D8%AD-%D9%85%D8%A8%D8%B3%D8%B7,Passive شرح مبسط,الصف الثاني ثانوي,,,,Passive شرح مبسط,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D9%85%D9%84%D8%AE%D8%B5-%D8%A7%D9%84%D8%AD%D9%81%D8%B8-%D9%88%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D9%8A%D8%A9-2000,ملخص الحفظ والكيمياء الحيوية 2000,الصف الثاني ثانوي,,,,ملخص الحفظ والحيـــــــوية.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D9%88%D8%AD%D8%AF%D8%A9-%D8%A7%D9%84%D8%B1%D8%A7%D8%A8%D8%B9%D8%A9-%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D8%B9%D8%B6%D9%88%D9%8A%D8%A9-2001,الوحدة الرابعة : الكيمياء العضوية 2001,الصف الثاني ثانوي,,,,عضوية 2001.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D9%88%D8%AD%D8%AF%D8%A9-%D8%A7%D9%84%D8%B1%D8%A7%D8%A8%D8%B9%D8%A9-%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D8%B9%D8%B6%D9%88%D9%8A%D8%A9-2000,الوحدة الرابعة : الكيمياء العضوية 2000,الصف الثاني ثانوي,,,,عضوية 2000.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%B3%D8%B1%D8%B9%D8%A9-%D8%A7%D9%84%D8%AA%D9%81%D8%A7%D8%B9%D9%84-%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A6%D9%8A-2000,سرعة التفاعل الكيميائي 2000,الصف الثاني ثانوي,,,,كاملة-سرعة-التفاعل2000.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%B3%D8%B1%D8%B9%D8%A9-%D8%A7%D9%84%D8%AA%D9%81%D8%A7%D8%B9%D9%84-%D8%A7%D9%84%D9%83%D9%8A%D9%85%D9%8A%D8%A7%D8%A6%D9%8A,سرعة التفاعل الكيميائي,الصف الثاني ثانوي,,,,كاملة-سرعة-التفاعل-2001.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D8%AA%D8%A3%D9%83%D8%B3%D8%AF-%D9%88-%D8%A7%D9%84%D8%A7%D8%AE%D8%AA%D8%B2%D8%A7%D9%84-%D8%A7%D9%84%D9%81%D8%B5%D9%84-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A,التأكسد و الاختزال الفصل الثاني,الصف الثاني ثانوي,,,,تأكسد-الفصل-اول 200.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D8%AA%D8%A3%D9%83%D8%B3%D8%AF-%D9%88-%D8%A7%D9%84%D8%A7%D8%AE%D8%AA%D8%B2%D8%A7%D9%84-%D9%81%D8%B5%D9%84-%D8%A7%D9%88%D9%84,التأكسد و الاختزال فصل اول,الصف الثاني ثانوي,,,,تأكسد-الفصل-الاول00.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D8%AD%D9%85%D9%88%D8%B6-%D9%88%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D8%A7%D9%84%D9%81%D8%B5%D9%84-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A,الحموض والقواعد الفصل الثاني,الصف الثاني ثانوي,,,,الحموض والقواعد-الفصل الثاني 2.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AF%D9%88%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D9%85%D8%A9-%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84%D8%A9-%D9%84%D8%BA%D8%A9-%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%853-%D9%85%D9%86%D9%87%D8%A7%D8%AC-%D8%AC%D8%AF%D9%8A%D8%AF,دوسية العلامة الكاملة {لغة عربية م3 }منهاج جديد,الصف الثاني ثانوي,,,,دوسية العلامة الكاملة للغة العربية فصل.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AD%D9%85%D9%88%D8%B6-%D9%88%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D9%81%D8%B5%D9%84-%D8%AB%D8%A7%D9%86%D9%8A,حموض وقواعد فصل ثاني,الصف الثاني ثانوي,,,,حموض وقواعد فصل ثاني جيل 2001جاهز للعمل.pdf,,,
