URL,title,breadcrumb1,breadcrumb2,breadcrumb3,breadcrumb4,PDFname1,PDFname2,PDFname3,PDFname4
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D9%86%D9%88%D9%88%D9%8A%D8%A9,الفيزياء النووية,الصف الثاني ثانوي,الفرع العلمي,الفيزياء,,الفيزياء النووية-مضغوط.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D9%83%D9%85,فيزياء الكم,الصف الثاني ثانوي,الفرع العلمي,الفيزياء,,فيزياء الكم-مضغوط.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D8%B9%D9%84%D9%88%D9%85-%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%AA%D9%8A%D8%A9/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D9%85%D9%83%D8%AB%D9%81-%D9%88%D8%B1%D8%A7%D8%AB%D8%A9-%D8%AA%D9%83%D9%86%D9%88%D9%84%D9%88%D8%AC%D9%8A%D8%A7-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%A7%D8%B0%D8%AD%D8%B3%D8%A7%D9%85%D8%B9%D9%84%D9%8A%D8%A7%D9%86%D8%AE%D8%B6%D8%B1,مكثف وراثة + تكنولوجيا .. #الاستاذ_حسام_عليان_خضر,الصف الثاني ثانوي,الفرع العلمي,العلوم الحياتية,,مكثف-محول.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D8%AD%D8%AF%D9%8A%D8%AB%D8%A9-2019,الفيزياء الحديثة 2019,الصف الثاني ثانوي,الفرع العلمي,الفيزياء,,الحديثة2019.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D8%AA%D9%88%D8%AC%D9%8A%D9%87%D9%8A%C2%A0-%D9%81%D8%B5%D9%84-%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D9%83%D9%85,فيزياء التوجيهي ( فصل فيزياء الكم ),الصف الثاني ثانوي,الفرع العلمي,الفيزياء,,فيزياء التوجيهي ( فصل فيزياء الكم ),,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D8%B9%D9%84%D9%88%D9%85-%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%AA%D9%8A%D8%A9/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AE%D8%B1%D9%8A%D8%B7%D9%87-%D8%B0%D9%87%D9%86%D9%8A%D9%87-%D9%84%D8%A3%D9%86%D9%88%D8%A7%D8%B9-%D8%A7%D9%84%D9%88%D8%B1%D8%A7%D8%AB%D8%A9,خريطه ذهنيه لأنواع الوراثة,الصف الثاني ثانوي,الفرع العلمي,العلوم الحياتية,,خريطه ذهنيه لأنواع الوراثه.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D8%B9%D9%84%D9%88%D9%85-%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%AA%D9%8A%D8%A9/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D8%B3%D8%A6%D9%84%D8%A9-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-%D9%85%D8%B1%D8%AA%D8%A8%D8%A9-%D8%AD%D8%B3%D8%A8-%D8%A7%D9%84%D9%85%D9%88%D8%B6%D9%88%D8%B9-%D9%84%D9%80-%D8%A3-%D9%85%D8%AD%D9%85%D9%88%D8%AF,اسئلة سنوات مرتبة حسب الموضوع لـ أ. محمود غانم || فصل الوراثة,الصف الثاني ثانوي,الفرع العلمي,العلوم الحياتية,,اسئلة سنوات وراثة الصفات لمحمود غانم.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AF%D9%88%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%AC%D8%A7%D9%84-%D8%A7%D9%84%D9%85%D8%BA%D9%86%D8%A7%D8%B7%D9%8A%D8%B3%D9%8A-%D9%812-2019-0,دوسية المجال المغناطيسي ف2- 2019,الصف الثاني ثانوي,الفرع العلمي,الفيزياء,,دوسية المجال المغناطيسي توجيهي 2001 compressed.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AF%D9%88%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%AC%D8%A7%D9%84-%D8%A7%D9%84%D9%85%D8%BA%D9%86%D8%A7%D8%B7%D9%8A%D8%B3%D9%8A-%D9%812-2019,دوسية المجال المغناطيسي ف2-2019,الصف الثاني ثانوي,الفرع العلمي,الفيزياء,,ilovepdf merged (1) watermark.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%A7%D9%84%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A/%D8%A7%D9%84%D9%81%D9%8A%D8%B2%D9%8A%D8%A7%D8%A1/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D9%84%D8%B2%D9%88%D8%AC%D8%A9-%D9%88%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%A6%D8%B9,اللزوجة وتطبيقات الموائع,الصف الاول ثانوي,الفرع العلمي,الفيزياء,,اللزوجة وتطبيقات الموائع .pdf,,,
